問題,回答內容,延伸閱讀或連結,相關法規,提供單位
我對創客俱樂部有些問題想問，我該去哪詢問,對創客俱樂部有任何疑問的話，可以私訊社團 Facebook 粉絲專頁與 Instagram 帳號。如果你是社員，也可以直接在 Messenger 大大群詢問。,"- Facebook： https://www.facebook.com/Makereal.Labs
- Instagram： https://www.instagram.com/makereallabs_nctu
- 社團官網： https://makereallabs.nycu.me 
- Email： makereallabsnctu@gmail.com",,
要怎麼退出創客俱樂部,"依照〈Makereal Labs 組織章程〉第 3 條第 2 項
> 退社及除名：若有下列任一事項者，經幹部會議後喪失社員資格。
> ...
> 4. 自願退社，且以書面敘明理由之社員。

因此，你可以書面寫明理由，並選擇適當時機交給當屆幹部，我們便能將你除名。

另外，依照第 3 條第 3 項
> 喪失社員資格者，應於一個月內領取退費。金額以此公式計算：（入社
時繳納之社費）－（參與社課次數）× 300 －（參與其餘由社團出資之活
動次數）× 100，若小於零則不退費。

請記得領取退費",社團入口網（前往下載組織章程）： https://clubportal.nycu.edu.tw/club/view/info/1046F49F-819B-4645-BDAA-08D7A859F1A5 ,〈Makereal Labs 組織章程〉（2024 年修訂）,
參加創客俱樂部對職涯發展有幫助嗎,加入創客俱樂部會對你的職涯有正向的影響！如果你是資工、電機、光電等工程領域的學生，你將獲得把理論與實務相結合的能力，在構思、創作與實踐中累積經驗與樂趣，所以你在課業內容上不會迷茫。如果你是其他領域的學生，你將成為 π 型人才，獲得你的專業 + 工程領域專業的視野與技能，達到 1 + 1 > 2 的效果！,,,
我是創客俱樂部成員，我看得到創客俱樂部的經費使用狀況嗎,看得到喔！你可以隨時找總務取得檢視喔！,,,
,,,,
以下可自行新增問題：,,,,
創客俱樂部幾屆了？,創客俱樂部目前到第九屆了！幹部任期為 112 下半學年度至 113 上半學年度,,,
創客俱樂部的幹部列表,"創客俱樂部第九屆之任期為 112 下半至 113 上半學年度。全員名單如下：
- 社長：簡惠心
- 副社長：潘仰祐
- 教學：曾豊茗、林子鈞、呂杰軒
- 教學兼美宣：洪翠憶
- 教學兼簡報長：許哲瑋
- 總務：王嵐
- 公關兼網頁：張芷瑄
- 雲端長兼攝影師兼文書：呂沁儒
- 公關兼營期總務：何昕恩",,,
創客俱樂部的聯絡方式、官網或社群媒體帳號,"- Facebook： https://www.facebook.com/Makereal.Labs 
- Instagram： https://www.instagram.com/makereallabs_nctu 
- 社團官網： https://makereallabs.nycu.me 
- Email： makereallabsnctu@gmail.com",,,
創客俱樂部的 Github,"本社在 Github 上有一個 Organization 與一個帳號。資訊如下：
- Organization：請搜尋「Makereal Labs」 https://github.com/Makereal-Labs 
- 帳號：請搜尋「交大創客俱樂部 Makereal Labs NCTU」 https://github.com/Makereal-Labs-NCTU ",,,

